,Title,Maker,Identification_Numbers,Categories,Entities,Acquisition_and_Important_Dates,Description,Dating,School_or_Style,Materials_Used_in_Production,Website
1,Venus,Factory: Unknown,Accession number: C.980-1928|Primary reference Number: 76487|Old object number: 3042|Stable URI,Lead-glazed earthenware,Figure,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Lead-glazed earthenware painted in enamels Lead-glazed earthenware painted in greyish-green, green, tanned flesh pink, red, pale brown, dark brown, and black enamels. The underside of the base is closed and has a large ventilation hole under the support and a small one under the dolphin. The black base is circular with straight sides and has a brown tree stump at the back which supports Venus, who stands with the dolphin on the viewer's right of her, its head beside her left foot and its tail resting on the tree stump. Venus has brown hair and eyebrows. Her lips are red, and her nude body is coloured overall in a rather startling tanned flesh pink. She wears a grey-green fig leaf. The dolphin's scales are painted in two shades of green, and it has a red mouth and fins.",Early 19th Century|George III|George IV|Circa 1815 CE - 1820 CE,Neoclassical,white Earthenware|Lead-glaze,https://data.fitzmuseum.cam.ac.uk/id/object/76487
2,NA,Potter: Unknown,Accession number: C.5-1909|Primary reference Number: 17525|Stable URI,Fritware (stonepaste),Tile panel|Islamic pottery|Iznik,Method of acquisition: Given (1909) by The Friends of the Fitzwilliam Museum,"Fritware, painted in blue green and black under a clear glaze and framed in ebonised wood. Fritware, mould made, painted (possibly on a white slip) in blue, green and black under a clear glaze and framed in ebonised wood.
Shape: a panel of ten square tiles set in a rectangular ebonised frame made in sections and lobed on top edge
Upper surface: all decoration is outlined in black, painted in green or blue and reserved in blue. In the centre, a white flower pot with flaring base, split palmette handles and a double mouth is painted with saz leaves and flowers. Emanating from this pot, a floral bouquet of tulips and carnations radiates over the upper half of the panel. The vase is flanked by cypress trees springing from grassy tufts along with further saz leaves and flowers. A cross-hatch boarder is just visible, obscured by the frame at the top right hand corner. The tiles are enclosed by a ebonised wood frame, gilded with key hole and leaf shapes, on the top edge and inscribed on the bottom edge.
Lower surface: not visible due to plaster, wood and card backing.",Late 16th or early 17th century|Circa 1550 CE - 1650 CE,Ottoman,Fritware,https://data.fitzmuseum.cam.ac.uk/id/object/17525
3,Bowl with scalloped edge,"Pottery: Redcliff Back (Probably)|Proprietor: Frank, Richard",Accession number: C.47-2015|Primary reference Number: 201797|Old object number: 11B|Entry form number: 648|Old loan number: AAL.47-2006|Stable URI,Tin-glazed earthenware|English delftware,Bowl,"Method of acquisition: Bequeathed (2015-04-27) by Batchelor, Ivor, Sir and Lady","Tin-glazed earthenware bowl with scalloped edge, painted in blue with a river scene Buff earthenware, moulded, trimmed, tin-glazed greyish-white, and painted in blue. The bowl has a shaped rim with alternately single and smaller double scallops around it, a narrow slightly sloping rim, deep curved sides, and a stands on a footrim formed by recessing the base. The well is painted with a river scene with two men in a narrow boat in the foreground and one man in a smaller boat on the left. Behind them is a group of houses, trees, bushes and two distant volcanoes. Overhead there are a few clouds, four birds on the left and one or two on the right. On the reverse there are two small peg marks on the edge of the rim, and a small flaw in the glaze on the back of the well, probably where the other peg was situated.",3rd quarter 18th Century|George II|George III|Circa 1760 CE - 1765 CE,NA,greyish-white Tin-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/201797
4,NA,"Production: Shaw, Thomas (Alderman)",Accession number: C.110 & A-1950|Primary reference Number: 71313|Stable URI,Tin-glazed earthenware,Teapot and lid,"Method of acquisition: Given (1950-09) by Dickson, W. D. (Frances Louisa), Mrs","Tin-glazed earthenware teapot and cover. With a depressed globular body, with a spreading foot and loop handle. Painted in blue on each side, and the lid with a house and trees.",Mid 18th Century|1725 - 1775,NA,Tin-glazed earthenware|Paint,https://data.fitzmuseum.cam.ac.uk/id/object/71313
5,NA,Production: Unidentified Staffordshire Pottery,Accession number: C.647 & A-1928|Primary reference Number: 75738|Old object number: 3376|Stable URI,Lead-glazed earthenware|Lead-glazed agate ware,Sugar bowl|Cover|sugar bowl,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Lead-glazed agateware. The cylindrical bowl stands on a circular foot, and has a domed cover with a button knob. The veinings, in dark brown, light brown and white, form a pattern on the sides of vertical bands resembling the marking of a horse's teeth or vertical stems with pairs of leaves.",Mid 18th Century|George II|Circa 1745 CE - 1755 CE,NA,Lead-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/75738
6,NA,"Factory: Wedgwood, Josiah|Printer: Green, Guy",Accession number: C.729 & A-1928|Primary reference Number: 11708|Old object number: 1497|Stable URI,Lead-glazed earthenware|Creamware|Teaware,Teapot|Cover,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Pale cream-coloured earthenware (Queen's ware) printed onglaze in black with on one side, The Tea Party , and on the other, The Shepherd. Pale cream-coloured earthenware (Queen's ware) printed onglaze in black. Globular with leaf-wrapped spout, double entwined handle with rounded foliate terminals and close-fitting circular cover surmounted by a flower finial. Decorated on one side with The Tea Party, on the other with The Shepherd, and on the cover with two floral sprays.",George III|Production date: circa AD 1780 : The pale cream coloured body suggests a date of about 1780.,Rococo,Lead-glaze|Cream-coloured earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/11708
7,Punch Bowl with Three-part Cover,Factory: Liverpool,Accession number: C.1716 & A-C-1928|Primary reference Number: 72500|Old object number: 4789|Stable URI,Tin-glazed earthenware|English delftware,Punch bowl|English delftware|punch bowl and cover,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Tin-glazed earthenware painted in blue with Oriental landscapes, the arms and motto of Liverpool, and inscribed 'THOMAS BOOTLE ESQUIRE MEMBER OF PARLIAMENT FOR LIVERPOOLE 1724' Tin-glazed earthenware and painted in blue. The bowl itself rests on a high domed foot and is painted round the outside with a Chinese landscape, with pavilions on rocks, trees and flying birds, below a border of formal foliage; a similar landscape on the foot. Inside, the arms of Liverpool with the motto 'DEUS.NOBIS.HAEC.OTIA.FECIT'; symmetrical scroll ornaments round the side. The lower part of the lid is domed and painted with similar Chinese landscapes below a panelled border; it has in the middle of it a deep depression forming a small bowl which is covered by the second lid; this supports a third small receptacle, also covered by means of the uppermost lid which ends in a bulbous knob (whole lid is a replacement). Both upper lids are painted with Chinese landscapes; the lower one of them is inscribed inside: 'THOMAS BOOTLE ESQUIRE MEMBER OF PARLIAMENT FOR LIVERPOOLE 1724'.",Early 18th Century|George I|Production date: dated AD 1724,Oriental style,buff Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72500
8,NA,Unknown,Accession number: C.4.40-1919|Primary reference Number: 74860|Stable URI,Fritware (stonepaste),Fragment|Islamic pottery|Lustre ware,Method of acquisition: Given (1919) by The Friends of the Fitzwilliam Museum,"Fritware, wheel made, covered with a turquoise glaze painted in lustre",12th Century|Circa 1100 CE - Circa 1199 CE,Fatimid,Lustre|Fritware|Glaze,https://data.fitzmuseum.cam.ac.uk/id/object/74860
9,NA,Pottery: Unidentified Liverpool pottery (Probably),Accession number: C.77A & B-2015|Primary reference Number: 201973|Old object number: 107A and 107B|Entry form number: 648|Old loan number: AAL.107A & B-2006|Stable URI,Tin-glazed earthenware|English delftware,Leaf dish|leaf -shaped tray,"Method of acquisition: Bequeathed (2015-04-27) by Batchelor, Ivor, Sir and Lady","Tin-glazed earthenware leaf-shaped dish painted in blue with landscapes Buff earthenware, press-moulded, tin-glazed pale bluish-white and painted in blue. Both dishes are moulded in the shape of a leaf with wavy edges and a short stalk, standing on a shaped footring. The interiors are painted with a lakeside scene in which there is a man in a boat in the foreground, an area with tufts of grass or reeds, three houses flanked by bushes and a single house with a fence to the right of it. Behind each house there is a slender tree resembling a telegraph pole, and overhead are three groups of schematic birds. The edge has a border of slanting lines broken by six groups of four spirals.",3rd quarter 18th Century|George II|George III|Circa 1750 CE - 1760 CE,Rococo,bluish-white Tin-glaze|buff Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/201973
10,Okame,Maker: Unknown,Accession number: C.259-1934|Primary reference Number: 73759|Stable URI,Earthenware,Figure|Japanese pottery,NA,A squate figure of a long-haired woman sitting on her haunches. She wears a yellow dress with black and red floral decoration. The underneath of the figure is a rather naturalistic rendering of a woman's back side etc. Buff coloured ware. Hollow.,NA,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/73759
11,Tragedy,Production: Unidentified factory,Accession number: C.937-1928|Primary reference Number: 76411|Old object number: 3013|Stable URI,Lead-glazed earthenware,Figure|Staffordshire figure (early),"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Earthenware figure, moulded and modelled, pearl-ware glazed and painted with polychrome enamels. Staffordshire figure representing Tragedy, standing on an oval base. A woman stands beside a tombstone: she holds a dagger in her right hand and a cup in her left. She wears a long, flowing, sleeveless, purple gown and a white cloak draped over her right shoulder. The tombstone is yellow and inscribed ‘Memento’ [for ‘memento mori’]. The base is a pointed oval mound, painted in green, blue and red and with ‘TRAGEDY’ inscribed in black impressed letters at the front. The back of the figure is flattened, but fully moulded and painted. The underside is recessed and glazed, with a central vent hole.",First quarter of 19th century|Circa 1810 - Circa 1820,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/76411
