"","Title","Maker","Identification_Numbers","Categories","Entities","Acquisition_and_Important_Dates","Description","Dating","School_or_Style","Materials_Used_in_Production","Website"
"1",NA,"Factory: Chiodo factory (Probably)","Accession number: C.2224 & A-1928|Primary reference Number: 80789|Old object number: 3607|Stable URI","Tin-glazed earthenware","Teapot|Cover|Maiolica","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Earthenware, tin-glazed overall. Sprayed with manganese-purple and decorated by a resist process in green and yellow.|Ovoid body standing on a low footring, with curved spout, double-twist handle, dividing at its base into spirals projecting on each side, and a domed cover with a narrow rim and acorn finial.|The shoulder and cover are each encircled by a continuous wavy stem of yellow and green flowers and foliage, reserved in a manganese ground which covers the whole pot with the exception of a ring round the foot and another round the edge of the cover. The finial and the edges of the cover, spout, and mouth are outlined in a darker shade of manganese. The base is marked in manganese with a lighthouse.","18th century|Circa 1740 CE - 1770 CE","Rococo","Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80789"
"2",NA,"Factory: Giordano factory","Accession number: C.2226 & A-1928|Primary reference Number: 80788|Old object number: 1052|Stable URI","Tin-glazed earthenware","Teapot|Cover|Maiolica","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Maiolica teapot painted in blue Yellowish-buff earthenware, tin-glazed overall. Painted in blue.
Ovoid, standing on a low footring, double twist handle, dividing at its base into spirals projecting on each side, curved spout, and domed cover with a narrow rim.
On the shoulder is a formal border incorporating scrolls, panels of trellis diaper, dots, and lambrequins; on the foot, a horizontal band, and above, two horizontal bands and a row of criss-crosses. The end of the spout has two bands with an elongated tassel below. There are horizontal strokes on the handle and on the lid, a wreath of foliage on a wavy stem within a band. The base is marked in blue with an orb with a `G' or `6' below.","18th century|Circa 1720 CE - 1750 CE",NA,"Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80788"
"3","Maiolica dish with a broad rim","Maker: 'Assumption Painter'","Accession number: EC.36-1942|Primary reference Number: 80787|Stable URI","Tin-glazed earthenware|Maiolica","Dish|dish with broad rim","Method of acquisition: Bought (1942) by Sotheby's","Painted in polychrome, with a man being fired at by arrows in a landscape, being released or tied up by a young woman Earthenware, tin-glazed greyish-white overall. Painted in dark blue, pale blue, pale green, yellow, orange, and opaque white. There are three small spur marks in the well. Shape approximately 59 (Poole 1995), slightly convex in the middle. Circular with a broad rim, and deep curved well, slightly convex in the middle.
The central medallion contains a landscape in which a stream of arrows speeds towards a young man who is bound to a stake, while a young woman is either tying him up or releasing him. The sides are decorated with bianco sopra bianco and orange Vs between rows of simulated beading. On the rim are grotesques reserved in a dark blue ground: four labels inscribed `1520', each flanked by cornucopiae and scrolls and surmounted by a winged putto's head, alternating with four grotesque masks, each flanked by dolphin scrolls and surmounted by a palmette. The rim is yellow.
The middle of the back is painted in blue with three concentric circles, crossed by two lines. One quarter contains a small circle, the other three an arrow pointing towards the centre. Radiating from the base are two rows of blue petals, the inner row transversely striped in blue and the outer in orange. The spaces between the petals are filled with blue transverse lines, and three narrow concentric blue bands encircle the edge.","16th century|Production date: AD 1520 : dated","Renaissance","in dark blue, pale blue, pale green, yellow, orange, and opaque white High-temperature colours|Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80787"
"4",NA,"Maker: Unidentified Montelupo potter","Accession number: C.2176-1928|Primary reference Number: 80775|Stable URI","Tin-glazed earthenware|Maiolica","Plate","Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware, tin-glazed pale cream on the front and sides of the reverse, which are tinged with green on the left; the base has a few random areas of glaze. Painted in green, yellow, grey, and manganese. Shape 67. Circular with curved sides and slightly everted rim, standing on a flat base.|In the middle, there is a vine leaf within a manganese circle surrounded by five small yellow cones, five vine leaves, and five half leaves pointing inwards from the rim. The leaves and cones are outlined in manganese and enclosed by grey wavy lines. The back is decorated with three concentric manganese bands midway across the sides.","17th Century|Circa 1600 CE - 1700 CE",NA,"Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80775"
"5",NA,"Maker: Unknown (Perhaps)","Accession number: C.2242-1928|Primary reference Number: 80771|Stable URI","Tin-glazed earthenware|Maiolica","Vase","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Earthenware, tin-glazed off-white overall. Painted in blue, sage-green, yellow, orange, brown, and manganese-purple. Inverted piriform body standing on a circular spreading foot, the upper part covered by a domed false cover surmounted by a globular finial with a hole in the top.|On the body is a coast scene with trees and buildings and the sun rising over distant mountains. The false cover and the foot have yellow grounds decorated with radiating elongated petals outlined in yellow and brown. There are two manganese horizontal bands between the top of the landscape and the upper part, and two more below the finial.","18th century|Circa 1700 CE - 1800 CE",NA,"Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80771"
"6",NA,"Maker: Unidentified Castelli potter","Accession number: C.2241-1928|Primary reference Number: 80770|Old object number: 1129|Stable URI","Tin-glazed earthenware|Maiolica","Panel","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Maiolica panel, painted in polychrome with a river scene, including buildings, two bridges, and the sun rising over mountains. Earthenware, glossy white tin-glaze on the front and a little glaze on the back. Painted in blue, shades of sage-green, pale yellow, orange, brown, and manganese. Rectangular.
A river scene with castellated and other buildings along the banks and on rocky promontories, two bridges, and the sun rising over mountains in the background. A manganese line and an orange line run round the outer edge.","18th century|Circa 1720 CE - 1760 CE",NA,"Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80770"
"7","Christ healing a Lame Man","Artist: Gentile, Berardino (Attributed to)","Accession number: C.2238-1928|Primary reference Number: 80769|Old object number: 1126|Stable URI","Tin-glazed earthenware|Maiolica","Panel","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Buff earthenware, tin-glazed on the front. Painted in blue, olive-green, yellow, orange, grey, and brown.|Rectangular with the top broken off.|Christ healing a Lame Man who walks on crutches and is supported by another man. Architectural background with a view of trees through an opening behind the cripple and his companion. A narrow manganese line and an orange line run round three sides.","18th century|Circa 1750 CE - 1790 CE","Baroque","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80769"
"8","Bacchus and Ariadne","Maker: Unknown","Accession number: C.2237-1928|Primary reference Number: 80768|Old object number: 1580|Stable URI","Tin-glazed earthenware|Maiolica","Panel","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Maiolica panel, painted in polychrome with Bacchus and Ariadne. Dark buff earthenware, tin-glazed on the front; traces of glaze on the back. Painted in shades of blue, green, yellow, orange, brown, and manganese-purple. Rectangular.
Bacchus and Ariadne. Ariadne reclines in the foreground looking towards a female attendant who approaches from the right holding an infant in her arms. Bacchus sits further back drinking from a cup held by a baby satyr. Behind them are a monument and a tree over which a flying putto is hoisting up a blue drape, assisted by another who stands behind Ariadne. In the lower right corner is a basket of flowers, and a tiny fox on which is an `A'.","18th century|19th century|Circa 1750 CE - 1800 CE",NA,"Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80768"
"9","The Virgin and Child with two Saints","Maker: Unknown (Probably)","Accession number: C.2232-1928|Primary reference Number: 80767|Stable URI","Tin-glazed earthenware","Panel|Maiolica|votive panel","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Maiolica panel of the Virgin and Child with two Saints, painted in polychrome. Pale buff earthenware, tin-glazed overall except the lower edge, near which the glaze has crawled. Painted in blue, yellow, and orange, with manganese-purple outlines.
Rectangular with two suspension holes at top centre.
At the top a half-length figure of the Virgin and Child rises from clouds in front of a draped curtain; below, two Saints, the one on the left bearded, the other clean-shaven, kneel on paving slabs in front of a stylised townscape. Underneath there is a panel, inscribed in manganese-purple `.S.MARIA _RA.PRONOBIS' (Holy Mary pray for us). The scene is framed by two narrow blue lines and a wide yellow border decorated with brownish-orange leaves.","17th Century|Circa 1600 - 1650",NA,"Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80767"
"10",NA,"Maker: Unknown","Accession number: C.2245-1928|Primary reference Number: 80765|Stable URI","Tin-glazed earthenware|Maiolica","Ring flask|flask","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Maiolica ring flask, painted in green, yellow, orange, and dark brown. Earthenware, tin-glazed except for the base and a short distance above it. Painted in green, yellow, orange, and dark brown. the flask is in the shape of a ring of six bosses with dimples on each side, standing on a rectangular foot, the short slender neck flanked by two sloping handles, each formed by two strips of clay with a serrated strip between them.
The bosses are decorated to resemble flowers. Round the central space are narrow yellow and orange bands between brown, with slanting brown strokes over them. The outer edges of the flask have vertical stripes of three colours flanked by green. The outer strips of the handles are green, and the serrated inner strips are horizontally striped in yellow and orange. Round the neck is a dark red cord terminating in a tassel made up of several smaller tassels.","19th century|Circa 1800 CE - 1900 CE",NA,"Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/80765"
